Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product,Clean Name,Storage,Battery,Screen Size,Color,More Details
XIAOMI,12250,25000.0,51.0,4.6,13.0,Phones,XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM + WW SP,N/A,N/A,N/A,N/A,
Samsung,22999,40000.0,42.5,4.3,50.0,Phones,Samsung GALAXY A15,8GB RAM + 256GB ROM,5000mAh,N/A,Black,"6.5'' HD+, DUAL SIM, 50MP,  -"
Oppo,12799,15999.0,20.0,4.1,21.0,Phones,Oppo A3X,4GB RAM,N/A,"6.67""",Blue,"64GB + , 4G LTE, 45W Flash Charge (Dual SIM) 5,100 MAh- Ocean"
Itel,5899,7097.0,16.88,4.1,35.0,Phones,"Itel A18s 5.0"" 32GB + 2GB RAM",2GB RAM,3020mAh,"5.0""",N/A,"5MP, Android 13,  -?Sunrise orange (1YR WRTY)"
XIAOMI,10395,12999.0,20.03,3.7,18.0,Phones,XIAOMI Redmi A3x,4GB RAM,5000mAh,"6.71""",Black,128GB +  (Dual SIM)
Itel,9499,18000.0,47.23,4.0,159.0,Phones,Itel A70,8GB RAM + 128GB ROM,5000mAh,N/A,N/A,6.66 Display Upto  8MP
redbeat,12416,16109.0,22.93,4.6,10.0,Phones,redbeat E3 Smartphone 6.6‘’ Dual SIM,N/A,N/A,N/A,Black,"12GB/256GB,Android14,Side Fingerprint,BLACK"
Samsung,9399,19888.0,52.74,4.4,167.0,Phones,Samsung Galaxy A05,4GB RAM + 64GB ROM,5000mAh,N/A,Black,"6.7''   (Dual Sim) 50MP Camera,  -"
XIAOMI,10395,12999.0,20.03,3.7,18.0,Phones,XIAOMI Redmi A3x,4GB RAM,5000mAh,"6.71""",Black,128GB +  (Dual SIM)
Itel,9499,18000.0,47.23,4.0,159.0,Phones,Itel A70,8GB RAM + 128GB ROM,5000mAh,N/A,N/A,6.66 Display Upto  8MP
redbeat,12416,16109.0,22.93,4.6,10.0,Phones,redbeat E3 Smartphone 6.6‘’ Dual SIM,N/A,N/A,N/A,Black,"12GB/256GB,Android14,Side Fingerprint,BLACK"
Samsung,9399,19888.0,52.74,4.4,167.0,Phones,Samsung Galaxy A05,4GB RAM + 64GB ROM,5000mAh,N/A,Black,"6.7''   (Dual Sim) 50MP Camera,  -"
Realme,10890,19999.0,45.55,4.3,52.0,Phones,"Realme Note 50 6.74"" 128GB ROM+ 4GB (Expandable to 8GB RAM) 5000mAh (Dual sim) - Blue","128GB ROM, 8GB RAM",5000mAh,"6.74""",N/A,
Infinix,12099,13455.0,10.08,4.5,2.0,Phones,Infinix Hot 50i,6GB RAM,5000mAh,"6.7""",N/A,"128GB + ,  (Dual SIM), Purple (1YR  WRTY)"
Tecno,1749,3800.0,53.97,4.7,11.0,Phones,Tecno T301 2/Dual Sim,N/A,N/A,N/A,N/A,Button/KABAMBE/KATULULU/MULIKA MWIZI + FREE WATCH AND BELT
Samsung,10199,23000.0,55.66,4.5,15.0,Phones,Samsung GALAXY A05,"4GB RAM, 64GB ROM",N/A,N/A,N/A,"6.7 PLS LCD DISPLAY ,4GB RAM/64GB ROM,ANDROID 13,5000MAH,4G,DUAL,50MP+CV BT WTC"
XIAOMI,15290,30000.0,49.03,4.1,41.0,Phones,XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  WW VVT,8GB RAM + 256GB ROM,N/A,N/A,N/A,
Tecno,19280,35000.0,44.91,3.9,16.0,Phones,Tecno SPARK 20 PRO,"8GB RAM, 16GB RAM, 256GB ROM",N/A,"6.78""",N/A,"IPS LCD INCHES,8GB RAM UPTO 16GB RAM,256GB ROM,DUAL SIM,5000MAH,108MP"
Infinix,21599,26976.0,19.93,4.6,8.0,Phones,Infinix Hot 50 Pro+,8GB RAM,5000mAh,"6.78""",N/A,"128GB +  (Dual Sim), Purple"
Infinix,11099,14075.0,21.14,3.7,15.0,Phones,Infinix Smart 9,4GB RAM,5000mAh,"6.7""",Black,"128GB +  (Dual SIM), Metallic  (1YR WRTY)"
Itel,9199,11612.0,20.78,4.1,21.0,Phones,Itel A60s,4GB RAM,5000mAh,"6.6""",Black,"128GB + , Dual SIM, 4G -?Shadow  (1YR WRTY)"
Samsung,13700,14950.0,8.36,4.1,44.0,Phones,Samsung Galaxy A05s,N/A,5000mAh,"6.7""",Black,128GB + 4GB (Dual SIM)
Samsung,12999,20000.0,35.0,3.6,10.0,Phones,Samsung A06 6.7 DISPLAY 4GB RAM +128GB ROM 5000MAH DUAL SIM PB SW,4GB RAM +128GB ROM,N/A,N/A,N/A,
Tecno,12139,14499.0,16.28,3.9,18.0,Phones,Tecno Spark 30c,8GB RAM + 128GB ROM,N/A,N/A,Black,"6.67'' HD+, UP to  (Dual Sim) 50MP, 5000 mAh - Orbit"
Tecno,11499,12999.0,11.54,4.2,102.0,Phones,"Tecno POP 9 120Hz 6.67"" 128GB ROM+3GB RAM*(+3GB RAM Extended)4.5G Network","128GB ROM, 3GB RAM, 3GB RAM",5000mAh,"6.67""",Black,Infrared Remote Control-  (1YR WRTY)
Samsung,13800,20999.0,34.28,3.5,35.0,Phones,Samsung Galaxy A05s,N/A,5000mAh,"6.7""",Silver,128GB + 4GB (Dual SIM)
Vivo,3299,18999.0,82.64,1.5,2.0,Phones,Vivo Refurbished Y55 4G LTE Android Phones (16GB,N/A,N/A,"5.2""",N/A,"2GB),  Octa-core, 8MP+5MP Camera Smartphones, Dual SIM, 2730 MAh Mobile Phones"
Oppo,5199,10000.0,48.01,3.7,139.0,Phones,Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Blue,4GB RAM,N/A,N/A,N/A,
Itel,8599,15650.0,45.05,4.8,19.0,Phones,Itel A70,3GB RAM,5000mAh,"6.6""",Blue,"+ 128GB, 4G, (Dual SIM)  - Azure blue"
Samsung,23499,35999.0,34.72,4.0,15.0,Phones,Samsung GALAXY A16,8GB RAM,5000mAh,N/A,N/A,"6.7'' HD+,  + 256 GB ROM, DUAL SIM, 50MP,   COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU"
Freeyond,10899,21196.0,48.58,4.1,317.0,Phones,Freeyond M5,N/A,5000mAh,"6.52""",Black,"8GB+128GB, 50MP,4G Smartphone  Dual SIM Android Phone"
Itel,8199,9000.0,8.9,0.0,0.0,Phones,Itel A50,2GB RAM,5000mAh,N/A,Black,"6.6'', 64GB +  (Dual SIM), 4G"
Samsung,116000,147000.0,21.09,5.0,3.0,Phones,Samsung Galaxy S24 Ultra - 256 GB,N/A,N/A,N/A,Black,Titanium
Samsung,17027,18000.0,5.41,4.0,1.0,Phones,Samsung Galaxy A16,4GB RAM,5000mAh,"6.7""",Black,128GB +  (Dual SIM)
Apple,177000,190000.0,6.84,5.0,5.0,Phones,Apple iPhone 16 Pro Max (256 GB) - Desert Titanium,N/A,N/A,N/A,N/A,
Itel,9899,11200.0,11.62,0.0,0.0,Phones,Itel A80,3GB RAM,5000mAh,"6.7""",Black,"+ 128GB (Dual SIM),  (1 YR WRTY)"
Infinix,8999,13999.0,35.72,4.1,227.0,Phones,"Infinix Smart 8 6.6"" HD",2GB RAM,5000mAh,"6.6""",Black,"+ 64GB , Android 13 (Dual sim)  - Timber"
XIAOMI,8849,10999.0,19.55,4.2,107.0,Phones,XIAOMI Redmi A3x,3GB RAM,5000mAh,"6.71""",Black,64GB +  (Dual SIM)
Samsung,14150,22999.0,38.48,4.3,79.0,Phones,Samsung  Galaxy A05S,4GB RAM + 128GB ROM,5000mAh,"6.7""",N/A,"90HZ, 50MP CAMERA,  - Black + Free Gifts"
HOMMY,2159,4500.0,52.02,3.7,1177.0,Phones,HOMMY 3 Column Portable Wardrobe - Brown Cover,N/A,N/A,N/A,N/A,
Vivo,2831,7999.0,64.61,3.5,41.0,Phones,Vivo Y55 4G LTE Refurbished Smartphone (16GB,2GB RAM,2730mAh,"5.2""",Gold,"), 8MP+5MP Camera, Dual SIM"
Samsung,13799,17399.0,20.69,4.2,70.0,Phones,Samsung Galaxy A05s,N/A,5000mAh,"6.7""",Black,"128GB + 4GB (Dual SIM),-"
HOMMY,2399,4000.0,40.02,3.8,692.0,Phones,HOMMY Portable Wardrobe 3 Column - Grey Cover,N/A,N/A,N/A,N/A,
Blackview,6499,12999.0,50.0,4.4,29.0,Phones,Blackview Wave 6C,2GB RAM,5100mAh,"6.5""",N/A,"+ 32GB (Dual SIM), 8MP Camera,  Battery - 4G, Black."
XIAOMI,15499,20999.0,26.19,3.9,24.0,Phones,XIAOMI Redmi 14C,8GB RAM,5160mAh,"6.88""",N/A,(256GB Storage+) (Dual Sim)  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU
Samsung,12650,19999.0,36.75,4.3,24.0,Phones,Samsung A06 6.7 DISPLAY 4GB RAM +128GB ROM 5000MAH DUAL SIM+EARBUDS+WATCH-Bk,4GB RAM +128GB ROM,N/A,N/A,N/A,
Bontel,985,1500.0,34.33,4.2,177.0,Phones,Bontel 3310,N/A,N/A,N/A,Black,"1.77'' 1000 MAh Battery, FM Radio"
Samsung,9899,19999.0,50.5,4.3,79.0,Phones,Samsung Galaxy A05,4GB RAM + 64GB ROM,5000mAh,N/A,N/A,"6.7''   (Dual Sim) 50MP,  - Black + Free Gifts"
Oppo,9299,17183.0,45.88,3.8,149.0,Phones,Oppo A31 6GB RAM+128G ROM Refurbished 6.5 Inch Screen HD Camera 12MP-Black,6GB RAM,N/A,N/A,N/A,
Tecno,12999,20000.0,35.0,3.6,10.0,Phones,Tecno Spark 30c,8GB RAM + 128GB ROM,N/A,N/A,N/A,"6.67'' HD+, UP To  (Dual Sim) 50MP 5000 MAh+GIFTS F9,LED WATCH,TRIPOD."
XIAOMI,24350,29999.0,18.83,4.5,2.0,Phones,"XIAOMI Redmi Note 14 256GB 8GB 108MP 6.67"" 5500mAh 4G Dual SIM",N/A,5500mAh,"6.67""",N/A,
VILLAON,4850,7000.0,30.71,3.5,29.0,Phones,VILLAON V20SE,N/A,N/A,"5.0""",N/A,"SCREEN SIZE,3000MAH BATTERY,(32GB+4GB*)DUAL SIM,SPLY"""
Itel,9470,15000.0,36.87,4.4,28.0,Phones,Itel A70 6.6 DISPLAY UPTO 8GB RAM + 128GB ROM 5000mAh,8GB RAM + 128GB ROM,5000mAh,N/A,Black,8MP
Car,569,1300.0,56.23,3.9,23.0,Phones,Car Mobile Phone Holder - Black,N/A,N/A,N/A,N/A,
JIBAO,2599,4000.0,35.02,3.7,154.0,Phones,JIBAO Portable Wardrobe 3 Column - Grey,N/A,N/A,N/A,N/A,
XIAOMI,15450,29000.0,46.72,4.4,7.0,Phones,XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  SW BD2 PB2,8GB RAM + 256GB ROM,N/A,N/A,N/A,
Nokia,3999,5000.0,20.02,3.3,4.0,Phones,Nokia 2720 Flip Mobile,N/A,N/A,N/A,Black,"Mobile Phone, Dual Screen, Dual Sim Card -"
Samsung,19950,29999.0,33.5,4.5,33.0,Phones,Samsung GALAXY A15,6GB RAM + 128GB ROM,5000mAh,N/A,Black,"6.5'' HD+, DUAL SIM, 50MP,  - Blue black"
Samsung,23999,40999.0,41.46,4.3,35.0,Phones,Samsung GALAXY A15,8GB RAM + 256GB ROM,5000mAh,N/A,N/A,"6.5'' ,  (DUAL SIM) 50MP CAMERA,  - Blue + FREEBIES"
