Name,Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product
"Samsung Galaxy A16, 6.7"", 4GB RAM + 128GB (Dual SIM), 5000mAh, Black (2YRS WRTY)",Samsung,"KSh 17,630","KSh 22,735",,,4.3 out of 5(30),Phones
"Itel A70,6.66 Display Upto 8GB RAM + 128GB ROM 8MP 5000mAh,",Itel,"KSh 9,499","KSh 18,000",,,4 out of 5(159),Phones
"Samsung Galaxy A05, 6.7''  4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black",Samsung,"KSh 9,399","KSh 19,888",,,4.4 out of 5(167),Phones
"Samsung GALAXY A05,6.7 PLS LCD DISPLAY ,4GB RAM/64GB ROM,ANDROID 13,5000MAH,4G,DUAL,50MP+CV BT WTC",Samsung,"KSh 10,199","KSh 23,000",,,4.5 out of 5(13),Phones
"Realme Note 50 6.74"" 128GB ROM+ 4GB (Expandable to 8GB RAM) 5000mAh (Dual sim) - Blue",Realme,"KSh 10,890","KSh 19,999",,,4.3 out of 5(51),Phones
"Samsung GALAXY A15, 6.5'' HD+, 8GB RAM + 256GB ROM, DUAL SIM, 50MP, 5000mAh - Black",Samsung,"KSh 22,999","KSh 40,000",,,4.3 out of 5(50),Phones
"redbeat E3 Smartphone 6.6‘’ Dual SIM,12GB/256GB,Android14,Side Fingerprint,BLACK",redbeat,"KSh 12,349","KSh 16,109",,,4.6 out of 5(10),Phones
"XIAOMI Redmi A3x 6.71"" 4GB RAM + 128GB ROM, Android 14 (Dual Sim) 5000mAh - Black + Smart watch & Power bank",XIAOMI,"KSh 11,599","KSh 23,999",,,3.8 out of 5(30),Phones
"Samsung GALAXY A15, 6.5'' HD+, 8GB RAM + 256GB ROM, DUAL SIM, 50MP, 5000mAh - Black",Samsung,"KSh 22,999","KSh 40,000",,,4.3 out of 5(50),Phones
"redbeat E3 Smartphone 6.6‘’ Dual SIM,12GB/256GB,Android14,Side Fingerprint,BLACK",redbeat,"KSh 12,349","KSh 16,109",,,4.6 out of 5(10),Phones
"XIAOMI Redmi A3x 6.71"" 4GB RAM + 128GB ROM, Android 14 (Dual Sim) 5000mAh - Black + Smart watch & Power bank",XIAOMI,"KSh 11,599","KSh 23,999",,,3.8 out of 5(30),Phones
Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Blue,Oppo,"KSh 5,199","KSh 10,000",,,3.7 out of 5(139),Phones
"Oppo A3X,  6.67"", 64GB + 4GB RAM, 4G LTE, 45W Flash Charge (Dual SIM) 5,100 MAh- Ocean Blue",Oppo,"KSh 12,799","KSh 15,999",,,4.1 out of 5(20),Phones
"Infinix Hot 50i, 6.7"", 128GB + 6GB RAM, 5000mAh (Dual SIM), Purple (1YR  WRTY)",Infinix,"KSh 12,099","KSh 13,455",,,4.5 out of 5(2),Phones
"Bontel Honey 1.54""// Color Display Flip Phone//c,e",Bontel,"KSh 1,999","KSh 2,500",,,4.2 out of 5(39),Phones
"Infinix Hot 50 Pro+, 6.78"", 128GB + 8GB RAM (Dual Sim), 5000mAh, Purple",Infinix,"KSh 21,599","KSh 26,976",,,4.6 out of 5(8),Phones
"Itel A60s, 6.6"", 128GB + 4GB RAM, Dual SIM, 5000mAh, 4G -?Shadow Black (1YR WRTY)",Itel,"KSh 9,199","KSh 11,612",,,4.1 out of 5(21),Phones
"Infinix Smart 9, 6.7"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Metallic Black (1YR WRTY)",Infinix,"KSh 11,099","KSh 14,075",,,3.7 out of 5(15),Phones
"XIAOMI Redmi A3x, 6.71"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black",XIAOMI,"KSh 10,395","KSh 12,999",,,3.6 out of 5(17),Phones
XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  WW BN,XIAOMI,"KSh 15,099","KSh 30,000",,,4 out of 5(4),Phones
"Tecno Spark 30c, 6.67'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Orbit Black",Tecno,"KSh 12,139","KSh 14,499",,,3.9 out of 5(18),Phones
"Itel A60s, 6.6"", 128GB + 4GB RAM, Dual SIM, 5000mAh, 4G -?Glacier Green (1YR WRTY)",Itel,"KSh 9,199","KSh 11,612",,,4.1 out of 5(68),Phones
"Vivo Refurbished Y55 4G LTE Android Phones (16GB, 2GB), 5.2"" Octa-core, 8MP+5MP Camera Smartphones, Dual SIM, 2730 MAh Mobile Phones",Vivo,"KSh 3,299","KSh 18,999",,,2 out of 5(1),Phones
XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  WW VVT,XIAOMI,"KSh 15,290","KSh 30,000",,,4 out of 5(39),Phones
"Samsung Galaxy A05s, 6.7"", 128GB + 4GB (Dual SIM), 5000mAh, Silver",Samsung,"KSh 13,800","KSh 20,999",,,3.5 out of 5(35),Phones
"Oppo Refurbished  A37 2GB RAM 16GB ROM 5inch "" 2630 MAh Dual SIM 5MP+8MP Android Smartphones/ Mobile Phones",Oppo,"KSh 4,399","KSh 8,999",,,3.1 out of 5(22),Phones
