Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product,Clean Name,Storage,Battery,Screen Size,Color,More Details
Lenovo,"KSh 13,500","KSh 15,000",,,,Laptops,"Lenovo Refurbished ThinkPad Yoga 11e X360 Celeron -Touchscreen- 11.6""- 4GB RAM - SSD 128GB windows 11 pro installed and activated",4GB RAM,N/A,"11.6""",N/A,
HP,"KSh 15,400","KSh 30,000",,,,Laptops,"HP REFURBISHED EliteBook 840 G1 Intel Core I5 14"" Inch 4GB RAM 500GB HDD Win10","4GB RAM, 500GB HDD",N/A,"14""",N/A,6 Months WRTY
HP,"KSh 39,999","KSh 40,000",,,,Laptops,HP Elitebook 840 G7 Intel Core i5-10th gen 16 GB Ram 256gb GB SSD 14 FHD Display refurbrished windows 11 pro installed and activated plus complete charger,N/A,N/A,N/A,N/A,
HP,"KSh 24,900","KSh 60,000",,,3.8 out of 5(30),Laptops,HP Refurbished EliteBook 840 G3 Core I7-6600U -8GB - 500 GB – Win 10 - Silver (6 Months WRTY),N/A,N/A,N/A,N/A,
HP,"KSh 29,999",,,,,Laptops,HP Refurbished EliteBook 840 G3  Intel Core I5 8 GB RAM HDD 500 GB,N/A,N/A,N/A,N/A,
HP,"KSh 22,500","KSh 30,000",,,5 out of 5(2),Laptops,"HP ProBook X360 11 G2 EE 8GB RAM 256GB SSD Core I5 7th Gen 11.6"" Touchscreen 2 in 1 Convertible  Slim Refurbished Laptop + Bag","8GB RAM, 256GB SSD",N/A,"11.6""",N/A,
Lenovo,"KSh 16,199","KSh 40,000",,,,Laptops,"Lenovo ThinkPad Yoga 11e Touchscreen 11.6"" Laptop Intel Celeron 4GB RAM 128GB SSD Webcam HDMI Wifi With Windows 11 PRO Installed Activated","4GB RAM, 128GB SSD",N/A,"11.6""",N/A,Office 2021 Pro Installed Activated + Free Wireless Mouse
HP,"KSh 8,499","KSh 13,999",,,4 out of 5(1),Laptops,HP Chromebook G4 -Intel Celeron N2840-11.6'' Screen- 4GB RAM / 10GB - Chrome OS -Refurb  (6 Months WRTY),4GB RAM,N/A,N/A,N/A,
Lenovo,"KSh 21,999","KSh 35,000",,,1 out of 5(1),Laptops,Lenovo 8GB RAM 256GB SSD ThinkPad Yoga 11e Refurbished Laptop X360 Touchscreen Webcam Bluetooth,"8GB RAM, 256GB SSD",N/A,N/A,N/A,"HDMI WIFI With Windows 11 PRO Activated, Office 2021 Pro, Basic Software Installed, Free Bag + Free Wireless Mouse + Charger + Mouse Pad + Free Extension."
Apple,"KSh 24,899","KSh 34,000",,,,Laptops,"Apple  MacBook Pro 13"" Core I5 2.4GHz 8GB RAM","8GB RAM, 500GB HDD",N/A,"13""",N/A,500GB HDD (2012) Silver Refurbished
